Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	mmu03010:Ribosome	43	9.347826086956522	3.1699169753686433E-34	ENSMUSG00000030045, ENSMUSG00000057841, ENSMUSG00000060636, ENSMUSG00000025290, ENSMUSG00000079435, ENSMUSG00000060938, ENSMUSG00000061983, ENSMUSG00000020460, ENSMUSG00000025794, ENSMUSG00000098274, ENSMUSG00000061787, ENSMUSG00000048758, ENSMUSG00000059070, ENSMUSG00000041453, ENSMUSG00000024608, ENSMUSG00000047675, ENSMUSG00000046364, ENSMUSG00000017404, ENSMUSG00000038900, ENSMUSG00000074129, ENSMUSG00000071415, ENSMUSG00000007892, ENSMUSG00000008683, ENSMUSG00000028234, ENSMUSG00000049751, ENSMUSG00000040952, ENSMUSG00000063457, ENSMUSG00000061477, ENSMUSG00000062006, ENSMUSG00000008668, ENSMUSG00000059291, ENSMUSG00000062328, ENSMUSG00000062647, ENSMUSG00000049517, ENSMUSG00000044533, ENSMUSG00000090862, ENSMUSG00000038274, ENSMUSG00000025508, ENSMUSG00000093674, ENSMUSG00000039221, ENSMUSG00000032518, ENSMUSG00000052146, ENSMUSG00000030432	193	145	7691	11.817509380025013	6.371533120490973E-32	6.371533120490973E-32	6.244736441476227E-32
KEGG_PATHWAY	mmu05010:Alzheimer's disease	23	5.0	3.73538445760178E-10	ENSMUSG00000061518, ENSMUSG00000031231, ENSMUSG00000019370, ENSMUSG00000002379, ENSMUSG00000063358, ENSMUSG00000029632, ENSMUSG00000022354, ENSMUSG00000041697, ENSMUSG00000040048, ENSMUSG00000000088, ENSMUSG00000026029, ENSMUSG00000016252, ENSMUSG00000022812, ENSMUSG00000063882, ENSMUSG00000031818, ENSMUSG00000030869, ENSMUSG00000033938, ENSMUSG00000014294, ENSMUSG00000021606, ENSMUSG00000016427, ENSMUSG00000036751, ENSMUSG00000031059, ENSMUSG00000034566	193	177	7691	5.178214923450718	7.508122013000218E-8	3.754061379889789E-8	3.679353690737753E-8
KEGG_PATHWAY	mmu05016:Huntington's disease	23	5.0	3.2486982805158343E-9	ENSMUSG00000061518, ENSMUSG00000031231, ENSMUSG00000033020, ENSMUSG00000002379, ENSMUSG00000029632, ENSMUSG00000022354, ENSMUSG00000041697, ENSMUSG00000040048, ENSMUSG00000000088, ENSMUSG00000026029, ENSMUSG00000016252, ENSMUSG00000063882, ENSMUSG00000031818, ENSMUSG00000030869, ENSMUSG00000002957, ENSMUSG00000033938, ENSMUSG00000014294, ENSMUSG00000021606, ENSMUSG00000038489, ENSMUSG00000016427, ENSMUSG00000036751, ENSMUSG00000031059, ENSMUSG00000034566	193	198	7691	4.62901031035746	6.529881482197908E-7	2.0765214677301173E-7	2.0351976574270303E-7
KEGG_PATHWAY	mmu05012:Parkinson's disease	20	4.3478260869565215	4.132381030308691E-9	ENSMUSG00000025094, ENSMUSG00000061518, ENSMUSG00000031231, ENSMUSG00000002379, ENSMUSG00000029632, ENSMUSG00000022354, ENSMUSG00000041697, ENSMUSG00000040048, ENSMUSG00000000088, ENSMUSG00000016252, ENSMUSG00000063882, ENSMUSG00000031818, ENSMUSG00000030869, ENSMUSG00000033938, ENSMUSG00000014294, ENSMUSG00000021606, ENSMUSG00000016427, ENSMUSG00000036751, ENSMUSG00000031059, ENSMUSG00000034566	193	149	7691	5.348958514448656	8.306082363018774E-7	2.0765214677301173E-7	2.0351976574270303E-7
KEGG_PATHWAY	mmu00190:Oxidative phosphorylation	19	4.130434782608695	8.444283147831302E-9	ENSMUSG00000061518, ENSMUSG00000031231, ENSMUSG00000002379, ENSMUSG00000029632, ENSMUSG00000022354, ENSMUSG00000041697, ENSMUSG00000040048, ENSMUSG00000000088, ENSMUSG00000016252, ENSMUSG00000063882, ENSMUSG00000031818, ENSMUSG00000030869, ENSMUSG00000033938, ENSMUSG00000014294, ENSMUSG00000021606, ENSMUSG00000016427, ENSMUSG00000036751, ENSMUSG00000031059, ENSMUSG00000034566	193	139	7691	5.447086890073434	1.6972994821840004E-6	3.394601825428184E-7	3.327047560245533E-7
KEGG_PATHWAY	mmu04932:Non-alcoholic fatty liver disease (NAFLD)	19	4.130434782608695	5.8495125912155115E-8	ENSMUSG00000061518, ENSMUSG00000031231, ENSMUSG00000002379, ENSMUSG00000029632, ENSMUSG00000022354, ENSMUSG00000041697, ENSMUSG00000040048, ENSMUSG00000000088, ENSMUSG00000026029, ENSMUSG00000022812, ENSMUSG00000063882, ENSMUSG00000031818, ENSMUSG00000030869, ENSMUSG00000033938, ENSMUSG00000014294, ENSMUSG00000021606, ENSMUSG00000016427, ENSMUSG00000036751, ENSMUSG00000031059	193	157	7691	4.822580112867563	1.175745154347041E-5	1.9595867180571965E-6	1.920589967449093E-6
KEGG_PATHWAY	mmu03040:Spliceosome	11	2.391304347826087	0.0017535903631800973	ENSMUSG00000031134, ENSMUSG00000028609, ENSMUSG00000008333, ENSMUSG00000020018, ENSMUSG00000031683, ENSMUSG00000040824, ENSMUSG00000057278, ENSMUSG00000032407, ENSMUSG00000020409, ENSMUSG00000010608, ENSMUSG00000021134	193	133	7691	3.295843235030582	0.2972689747163041	0.05035309471417137	0.04935104307806845
KEGG_PATHWAY	mmu04260:Cardiac muscle contraction	7	1.5217391304347827	0.012235345413302104	ENSMUSG00000061518, ENSMUSG00000031231, ENSMUSG00000063882, ENSMUSG00000031818, ENSMUSG00000036751, ENSMUSG00000041697, ENSMUSG00000000088	193	77	7691	3.6227037211493167	0.915792686872142	0.27354051280963326	0.2680969205149141
KEGG_PATHWAY	mmu05203:Viral carcinogenesis	13	2.8260869565217392	0.012764863637021118	ENSMUSG00000004043, ENSMUSG00000032113, ENSMUSG00000029387, ENSMUSG00000004040, ENSMUSG00000060550, ENSMUSG00000026222, ENSMUSG00000063358, ENSMUSG00000069306, ENSMUSG00000026029, ENSMUSG00000040274, ENSMUSG00000073409, ENSMUSG00000069305, ENSMUSG00000030339	193	231	7691	2.2426261130924345	0.9243965936627935	0.27354051280963326	0.2680969205149141
KEGG_PATHWAY	mmu04066:HIF-1 signaling pathway	8	1.7391304347826086	0.013608980736797673	ENSMUSG00000006386, ENSMUSG00000020009, ENSMUSG00000004040, ENSMUSG00000030339, ENSMUSG00000063358, ENSMUSG00000079658, ENSMUSG00000059040, ENSMUSG00000063524	193	102	7691	3.125469877069999	0.9363393583710248	0.27354051280963326	0.2680969205149141
